iteration,mean_variance,std_variance,relative_std
84,25.763043333323925,1.6827285881988892,6.53155982555181
85,25.875889718749697,1.6921106956795422,6.539333387456189
86,25.853021572467476,1.5823837105205163,6.1206915643690065
87,25.89490787307397,1.58194560062755,6.109099164907584
88,25.83470336750109,1.6001789609367325,6.19391265374344
89,25.724136212639614,1.5926241259788894,6.191166586951711
90,25.658139586781328,1.6217273985421516,6.320518263053024
91,25.730444372718864,1.6855275332284854,6.550712878536968
92,25.69082735157412,1.734334283360598,6.750791866787942
93,25.759533275018043,1.744169910429266,6.770968603382214
94,25.751351392672245,1.750473749106327,6.797599560559134
95,25.77716215294617,1.6622792514817402,6.448651102936682
96,25.786787476950046,1.670437308481922,6.47788061996893
97,25.920817364456944,1.7090289266083194,6.593267884182419
98,25.967417535163882,1.785301170280485,6.875158717122765
99,25.91265787112788,1.7770102249298747,6.857691842216755
100,25.921246803965357,1.8254294078318671,7.0422129831834255
101,25.96122792474307,1.8788839997386824,7.237269381807475
102,25.952581934936042,1.8783656587960769,7.23768318506883
103,25.96629503548789,1.9311430913888732,7.437114493036447
104,25.875823817540994,1.9109701385941387,7.385156708706251
105,25.866898364596636,1.8668845636781697,7.217272582759001
106,25.92394693679048,1.8089914395253408,6.97807106277507
107,25.850341890853894,1.8099972472960701,7.001830981339806
108,25.957610007020765,1.758215113023372,6.773409079448481
109,25.98212686211183,1.8112974097044532,6.971320782617527
110,26.015974716634293,1.818265839397271,6.989036002693738
111,25.979446706477535,1.807688303402788,6.95814781518065
112,25.975375118402184,1.816885937394514,6.994647542577146
113,25.944495461753398,1.7922984229303123,6.908203035100318
114,25.926869458683814,1.8441594685222693,7.112927657776269
115,25.953558670461803,1.829466461854615,7.0490004283565275
116,25.937355270339328,1.859196708039463,7.168027305257094
117,25.973549196990593,1.8762113798219555,7.223546407124605
118,25.978586424751843,1.851066906721248,7.125356539636779
119,26.00288345426039,1.8840404456505528,7.2455058646269705
