num_marked,pearson_mean,pearson_std,kappa_mean,kappa_std
43,0.19846303012602842,0.07427768378190093,0.20110521897011116,0.03464819837569845
44,0.19879550009588015,0.072349030628086,0.20119732369979149,0.03849862038808856
45,0.19878012235111378,0.06871444725780859,0.2015715998621376,0.048012276366201215
46,0.20355968319961143,0.07406006378497368,0.2147436470123182,0.05774993259496845
47,0.20000415498664612,0.07702810287291188,0.22211798623634907,0.055227161665196194
48,0.19845910874729716,0.07588374968770596,0.22171317430613638,0.056545513739913636
49,0.21530544928009152,0.08567910713634985,0.22702807136147835,0.06823764184008264
50,0.21151017891267515,0.08702338705436038,0.2183382047176102,0.07051072519436076
51,0.21241903114152652,0.08642051046874587,0.22629171449421204,0.06746153785570728
52,0.2114722349587622,0.0872100607143973,0.22619735480353292,0.06920103204236445
53,0.2143311189475726,0.07858524618816336,0.22975176180740758,0.06266466025544598
54,0.22905572038915484,0.07921436249048855,0.23719314271517994,0.06041724708573049
55,0.2307053140981672,0.08151833871788788,0.24188051506191588,0.06324450508363284
56,0.22799049056286208,0.0857388617139364,0.23852764009087668,0.06680908134928473
57,0.23597462964687152,0.08957228058658086,0.2453525204162661,0.06917483228231544
58,0.25522740895264484,0.05361053969274674,0.25471291824311354,0.05728487135338191
59,0.25059884915196545,0.05555954230297066,0.2471579232558307,0.057754529792561855
60,0.2590509869487643,0.062487885578362504,0.2506698732158047,0.060726625097858186
61,0.259771330400631,0.05845184021004189,0.2550353086742113,0.05546289754481102
62,0.2642068065000177,0.047017024307158206,0.2538097399110487,0.055735094983256434
63,0.2605461382120454,0.04669705399145069,0.25384581911918797,0.056485294675790165
64,0.2648403937341254,0.03945175995369244,0.2590870549617573,0.04663375665836256
65,0.2617208202678569,0.04032095139804674,0.25569679785797,0.04906872553110065
66,0.2581295585790139,0.041910418861027476,0.2500957130367946,0.05160285125004983
67,0.2655260408959668,0.054920700278627395,0.25907373313521403,0.05730333568787361
68,0.26477546589158585,0.049840085277029225,0.2533723471960788,0.05160951415864878
69,0.2712777121271631,0.05737760642801243,0.2561289145275832,0.05719043662767147
70,0.2730504206273253,0.060560710502954695,0.25426941913488255,0.057895321437374386
71,0.2713899162020058,0.06124279222784971,0.25237420912720854,0.0619045966587192
72,0.27065854660227784,0.08061239944348368,0.259979721834763,0.06484063411680004
73,0.2734988769144818,0.06973631147239842,0.25950515812295466,0.061165308846541644
74,0.27123945102824726,0.06944212010267879,0.2576240042002681,0.0584473248960344
75,0.27493822826174313,0.07272459519753295,0.2591447821645699,0.06010937717116934
76,0.2709689526932036,0.0732498852852164,0.25622600598097434,0.06113092171166979
77,0.2673220235938763,0.07923213385526474,0.2519734284789744,0.0735388869475615
78,0.2739859223368234,0.08187493912330633,0.26666487581759213,0.07633857706879475
79,0.2705281819058236,0.07426891072543705,0.2590690923372545,0.07440149494148335
80,0.2738858336169529,0.07188331676180901,0.2618073891598044,0.07130238473304626
81,0.2747560047994832,0.07953991504662679,0.26116098448517044,0.07263452569112096
82,0.28969146193818124,0.0847093724444699,0.26999926498836296,0.06992182735110251
83,0.29900999913091697,0.07266325699219886,0.27984536868577936,0.0592343699104188
84,0.29875052281357695,0.0748028097206528,0.27978562389555345,0.0680671504401302
85,0.30564190730600443,0.07604837807691972,0.2878902447228786,0.07513635339326921
86,0.30753377223637235,0.08395616852433835,0.2875009648737271,0.08093895966177958
87,0.31182176973070314,0.0892075096876555,0.29111851383145976,0.08157050747496557
88,0.31512097001491485,0.10016414818546002,0.2885030253074151,0.08676392707911221
89,0.3188518480159594,0.09741790809324002,0.2958097874548617,0.08047525781243706
90,0.3192175959966552,0.09778020131602795,0.2931240068059653,0.08203396683661897
91,0.3378435686050096,0.08482109849326791,0.3049657215663237,0.0750633109364456
92,0.3365721513121593,0.08459268303468409,0.30164101290785383,0.07125281214881271
93,0.341504280437593,0.07727366128071243,0.30625256294273157,0.06177978291288431
94,0.3381380542912343,0.08235662102007837,0.29997038395395614,0.06953184278186438
95,0.34503646940665356,0.07800016613773356,0.3058848923581972,0.07076538615098951
96,0.3453950179334421,0.07638622549944228,0.3100078938151823,0.06487315236101039
97,0.34742620994162665,0.07337694878019277,0.3139096248459178,0.05797372446862096
98,0.3491759863401279,0.06717032580048272,0.3191961283157236,0.04905860277882088
99,0.3470766858064832,0.07212119932956317,0.3166654443540723,0.055226744141792676
100,0.3523906681062042,0.08194255198415516,0.31659028063737554,0.060778514837026794
101,0.3550936587316105,0.08414098532805189,0.3208092360342838,0.06638618864788334
102,0.35113080345100756,0.088786610999595,0.315613554916126,0.07575877929107702
103,0.3590711549433382,0.07979996108848714,0.31871150261949516,0.07015587565477077
104,0.35317421871682736,0.08588924785594389,0.31434173715787883,0.07335365760793718
105,0.3503035261844139,0.08359456030903233,0.30837274961115,0.06725566450984789
106,0.35017443952859223,0.08612163320621079,0.3114733208535159,0.071523523288902
107,0.3549592923429363,0.0871122825618551,0.31810962597375025,0.07505718403056111
108,0.3513777050708144,0.08507304009028069,0.31278656120030923,0.07686603064466548
109,0.34952199062125705,0.08540486148930554,0.3091426655994771,0.07871608665826847
110,0.3501464342785864,0.08743418774154402,0.30939337838796244,0.07623935739563048
111,0.34755099203761947,0.08750556926070364,0.3058798636842453,0.07722586673546092
112,0.34613079956469645,0.08607712075202426,0.3021761256981829,0.07181226652421671
113,0.3452397523833148,0.08974241166047692,0.30478100404863206,0.07992829837034386
114,0.34858698796507037,0.09613930690682118,0.3082106480160697,0.08765316572233468
115,0.34004304446091055,0.10743359620078184,0.30319044889472674,0.08580792121731264
116,0.35347394130778326,0.10151451103634804,0.3125119376436944,0.083424175250399
117,0.3518547322003021,0.10301595847610144,0.30986466939992424,0.08721145160800886
118,0.34671394183566,0.10372549931211232,0.30282613889076593,0.08775945729290564
119,0.34954649736688753,0.09909061534354392,0.3057981773868841,0.08065692859549749
120,0.3420394314213032,0.0996661987852149,0.29543693153248984,0.0812196837202815
121,0.339005774784218,0.09891784958509511,0.2926627597368527,0.08215764220172683
122,0.3430452224349302,0.09156137341604205,0.2914771472947259,0.07879893157837854
123,0.34745230025243334,0.08955665215128793,0.2994475872284127,0.07357640143284658
124,0.35662712353441944,0.08093471786065141,0.30467471610795027,0.06990422120352237
125,0.3573032153687281,0.08196667801526122,0.3043440626111385,0.07338600062392041
126,0.3601516328398244,0.07831275610494218,0.3089474828864919,0.07014518923349795
127,0.37273130867222243,0.0686246474599219,0.3209442842647393,0.060651282349904835
128,0.3818157441187234,0.06541852288616103,0.33514374404944414,0.052328366013472044
129,0.3834373393704399,0.060265211216784825,0.3380773198008491,0.048561245344763714
130,0.3803003727529817,0.05782065838017086,0.33175062411922845,0.051640742684342926
131,0.3792208457287574,0.05832866698264617,0.33075801200956134,0.047715950545318214
132,0.37646459049879794,0.058402798105206495,0.32899227972777056,0.04769597971581967
133,0.36988932812767417,0.0729607549194654,0.32858061167539376,0.050978628469710456
134,0.3689729207991261,0.0737157394012915,0.3268047516002426,0.05015448543661974
135,0.3712084631044782,0.07027049850346925,0.3331346553074025,0.0391495212082954
136,0.3686138523960918,0.06683519913043875,0.33175428039371113,0.041961952550323395
137,0.3618695461544231,0.056797893544621086,0.3298789953219624,0.03763113311320281
138,0.36047543397154125,0.05258038742795314,0.3305260322476255,0.03783622769002889
